,,,,,,,,
,LIST OF ACCREDITED TREs PER LGU,,,,,,,
,As of August 31 2025,,,,,,,
,,,,,,,,
,Enterprise Type,Enterprise Name,Address,Contact Number,Email Address,Accreditation No.,Validity,New/Renewal
,BUTUAN CITY,,,,,,,
,BUTUAN CITY,,,,,,,
1,Hotel,Chikara Dottie's Place,"J.C. Aquino Avenue, Butuan City",(085) 341-4580,dottiesplacebxu@yahoo.com.ph,DOT-R13-HTL-00029-2020,31-Oct-26,Renewal
2,Hotel,Robinsons Land Corporation - Go Hotels Butuan,"J.C Aquino Avenue, Butuan City",9988403601,goh.bxu_dms@robinsonsland.com,DOT-R13-HTL-00027-2020,31-Oct-26,Renewal
3,Hotel,Watergate Hotel Butuan,"J. Rosales, Butuan City",(085)817-1008 / 09177799214,info@watergatehotelbutuan.ph,DOT-R13-HTL-00158-2021,31-Oct-26,Renewal
4,Hotel,Hotel Oazis,"Bayanihan, Butuan City",9179170880,hoteloazisbxu@gmail.com,DOT-R13-HTL-00023-2020,31-Oct-26,Renewal
5,Hotel,"Almont Hotel, Inc.","San Jose St., Butuan City",(085) 342-5464 / 342-9524,companynurse@almont.com.ph,DOT-R13-HTL-00005-2020,31-Oct-26,Renewal
6,Hotel,ROSE PREMIER LAND CORPORATION-AMARAH HOTEL,J. ROSALES BRGY LIMAHA BUTUAN CITY,9701548319,nrfcrplcerc@gmail.com,DOT-R13-HTL-01208-2024,31-Oct-25,New
7,Hotel,Balanghai Hotel and Convention Center Corporation,"Bacolod St., Upper Doongan, Butuan City",0998-590-1120,balanghaihotel@yahoo.com.ph,DOT-R13-HTL-00053-2021,31-Oct-26,
8,Hotel,Butuan Grand Palace Hotel,"Montalban St., Butuan City",9088888150,butuangrandpalacehotel@gmail.com,DOT-R13-HTL-00213-2021,31-Oct-26,
,,,,,,,,
1,Resort,Almont Hotel and Inland Resort,Butuan City,085-300-0296,hrd.inlandresort@almont.com.ph,DOT-R13-RES-00007-2020,31-Oct-26,Renewal
,,,,,,,,
1,Mabuhay Accommodation,VCDU Prince Hotel Grand Convention Hall,"Ilang-Ilang St., Villa Kananga, Butuan City",0939-917-3615 / (085) 341-0884,vcduprincehotel@gmail.com,DOT-R13-MAB-00170-2021,31-Oct-26,Renewal
2,Mabuhay Accommodation,Ariano's Inn,"Km. 3, Baan, Butuan City",(085)300-5866,farrahpates@gmail.com,DOT-R13-MAB-00281-2022,31-Oct-26,Renewal
3,Mabuhay Accommodation,VCDU Prince Hotel Inc.,"Imadejas, Butuan City",9399173615,vcduprincehotel@gmail.com,DOT-R13-MAB-00170-2021,31-Oct-26,Renewal
4,Mabuhay Accommodation,Kamalig ng Caraga,"Brgy Dagohoy, Butuan City",9190805498,kamaligngcaragabxu@gmail.com,DOT-R13-MAB-00944-2024,31-Oct-25,Renewal
5,Mabuhay Accommodation,Nea Lodge and Canteen,"P-1, NIA Road, Bancasi, Butuan City",9162693407,nealodge12@gmail.com,DOT-R13-MAB-00215-2022,31- Oct-26,Renewal
6,Mabuhay Accommodation,Pietros Square Corporation,"Imadejas Subd., Capitol Bonbon Rd., Brgy. Bayanihan, Butuan City",(085) 815-52-79 / (085) 300-22-41,pietros_square@yahoo.com,DOT-R13-MAB-00054-2021,31-Oct-25,Renewal
7,Mabuhay Accommodation,Johsons Pension House,Butuan City,9608374656,johcorp.bxu@gmail.com,DOT-R13-MAB-00516-2023,31-Oct-26,Renewal
8,Mabuhay Accommodation,"Icon Suites and Convention Center, Inc.",Butuan City,9177030396,iconsuitesbxu@gmail.com,DOT-R13-MAB-00062-2020,31-Oct-25,Renewal
9,Mabuhay Accommodation,RENZBEEHIVE LODGE,"Butuan City, Agusan del Norte",9091195041,Beehive_Lodge@yahoo.com,DOT-R13-MAB-00111-2021,31-Oct-26,05-Jan-00
,,,,,,,,
1,Travel and Tour Agency,Golden Tara Travels and Tours,"P-1, Brgy. Lapu-Lapu, Butuan City",0939-153-0163,goldentaratravelandtours@yahoo.com,DOT-R13-TTA-00263-2022,30-Jun-26,Renewal
2,Travel and Tour Agency,"One Corporate Grand Tours, Inc.","P-4A, Lower Doongan, Butuan City",0917-891-3556,cezlateo@gmail.com,DOT-R13-TTA-00063-2021,30-Jun-26,Renewal
3,Travel and Tour Agency,Travel Essentials,"Block 2 Lot 6, Northtown 2 Sub., Libertad, Butuan City",9398999156,travelessentials81@gmail.com,DOT-R13-TTA-00061-2021,30-Jun-26,Renewal
,,,,,,,,
1,Travel Agency,Island Dreams Travel Services,"BLOCK 1 LOT 52 TRENTON SUBDIVISION, Ampayon, Butuan City",9162916274,geraldinebucio53@gmail.com,DOT-R13-TRA-00883-2024,30-Jun-26,Renewal
2,Travel Agency,TICKETLAND TRAVEL & TOURS,"33 Rosales Street, Barangay. San Igncaio, Butuan City",9274077595,ticketlandtravels@gmail.com,DOT-R13-TRA-01029-2024,30-Jun-25,New
,,,,,,,,
1,Tourist Land Transport Operator,Caraga Transport Service Cooperative,"San Vicente, Butuan City",09127777480 / 09173103766,cartransco2006@gmail.com,DOT-R13-TTO-00872-2024,30-Apr-26,Renewal
